SNP,count,Frequency
0,99580,0.796213229708876
1,18984,0.151790640216844
2,4508,0.0360446800514924
3,1242,0.00993067715704382
4,391,0.00312632429018046
5,160,0.00127931428754188
6,78,0.000623665715176665
7,50,0.000399785714856837
8,28,0.000223880000319829
9,14,0.000111940000159914
10,6,4.79742857828204e-05
11,10,7.99571429713674e-05
12,4,3.19828571885469e-05
13,2,1.59914285942735e-05
14,2,1.59914285942735e-05
15,1,7.99571429713673e-06
16,2,1.59914285942735e-05
17,2,1.59914285942735e-05
18,1,7.99571429713673e-06
19,2,1.59914285942735e-05
