SNP,count,Frequency
0,42746,0.551290979906626
1,19149,0.246962779540354
2,8492,0.109520493177539
3,3731,0.0481183419742578
4,1635,0.0210864350383038
5,806,0.0103949031442647
6,379,0.00488792592019397
7,214,0.00275993706311744
8,117,0.00150893755319972
9,75,0.000967267662307514
10,61,0.000786711032010111
11,44,0.000567463695220408
12,32,0.000412700869251206
13,20,0.000257938043282004
14,6,7.73814129846011e-05
15,10,0.000128969021641002
16,7,9.02783151487013e-05
17,3,3.86907064923006e-05
18,4,5.15876086564007e-05
19,3,3.86907064923006e-05
20,1,1.28969021641002e-05
21,2,2.57938043282004e-05
22,1,1.28969021641002e-05
