SNP,count,Frequency
0,53779,0.562677213137052
1,22777,0.238310472184731
2,10318,0.10795484269228
3,4643,0.0485786329347019
4,1993,0.0208522971007669
5,972,0.0101698107285226
6,458,0.0047919478535631
7,260,0.00272031974219739
8,133,0.00139154817581636
9,74,0.000774244849702334
10,64,0.000669617167310127
11,33,0.000345271351894284
12,22,0.000230180901262856
13,23,0.000240643669502077
14,5,5.23138411961037e-05
15,8,8.37021459137659e-05
16,3,3.13883047176622e-05
17,4,4.18510729568829e-05
18,1,1.04627682392207e-05
19,2,2.09255364784415e-05
20,1,1.04627682392207e-05
21,2,2.09255364784415e-05
23,1,1.04627682392207e-05
29,1,1.04627682392207e-05
