SNP,count,Frequency
0,35478,0.701423487544484
1,10223,0.202115460656386
2,3200,0.0632661130881771
3,958,0.018940292605773
4,339,0.00670225385527877
5,136,0.00268880980624753
6,106,0.00209568999604587
7,39,0.000771055753262159
8,31,0.000612890470541716
9,21,0.000415183867141162
10,20,0.000395413206801107
11,9,0.000177935943060498
12,6,0.000118623962040332
13,4,7.90826413602214e-05
15,2,3.95413206801107e-05
16,3,5.93119810201661e-05
17,1,1.97706603400554e-05
18,1,1.97706603400554e-05
25,1,1.97706603400554e-05
30,1,1.97706603400554e-05
45,1,1.97706603400554e-05
