SNP,count,Frequency
0,163962,0.725925991517094
1,45209,0.20015850105815
2,11989,0.0530801448646543
3,3137,0.0138887659054484
4,947,0.00419275145440217
5,292,0.00129280192680616
6,128,0.000566707693942426
7,65,0.000287781250830138
8,37,0.000163813942780233
9,25,0.00011068509647313
10,16,7.08384617428033e-05
11,16,7.08384617428033e-05
12,9,3.98466347303268e-05
13,4,1.77096154357008e-05
14,8,3.54192308714016e-05
15,4,1.77096154357008e-05
16,6,2.65644231535512e-05
17,3,1.32822115767756e-05
18,1,4.4274038589252e-06
19,1,4.4274038589252e-06
20,1,4.4274038589252e-06
21,1,4.4274038589252e-06
24,1,4.4274038589252e-06
26,2,8.85480771785041e-06
32,1,4.4274038589252e-06
34,1,4.4274038589252e-06
