SNP,count,Frequency
0,112482,0.733527232888147
1,29437,0.191967080550918
2,7919,0.0516420596828047
3,2182,0.0142294449081803
4,743,0.00484531510851419
5,259,0.00168901293823038
6,131,0.000854288397328881
7,73,0.000476053839732888
8,53,0.000345628130217028
9,21,0.000136946994991653
10,13,8.47767111853088e-05
11,12,7.82554257095159e-05
12,6,3.91277128547579e-05
13,1,6.52128547579299e-06
14,4,2.6085141903172e-05
15,4,2.6085141903172e-05
16,1,6.52128547579299e-06
18,1,6.52128547579299e-06
28,1,6.52128547579299e-06
31,1,6.52128547579299e-06
